No.,Nombre de municipio,Nombre de localidad,Clave del Centro de Trabajo (CCT),Nombre del plantel,Matrícula,Semáforo federal,Programa,Porcentaje de avance (%),Latitud,Longitud
2251,PUEBLA,SAN MIGUEL CANOA,21DJN2334U,CALPULLI,68,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.151944,-98.103056
2252,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,21DES0077R,VENUSTIANO CARRANZA,197,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,20.509107,-97.675436
2253,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21ETV0362R,UNIDAD DEPORTIVA,373,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.040958,-98.101129
2254,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DST0048O,ESCUELA SECUNDARIA TECNICA NUM. 44,852,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.103296,-98.196778
2255,ESPERANZA,ESPERANZA,21EES0186X,EMILIO CARRANZA,727,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.860814,-97.38348
2256,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21EJN0019Q,DIN DON DAN,140,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.998523,-98.220736
2257,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DPR0340H,ROBERTO CANEDO,776,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.065118,-98.236239
2258,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DPR0935Q,FERNANDO XIMELLO,644,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.072318,-98.251735
2259,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DPR3047Y,INDEPENDENCIA,219,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.072318,-98.251735
2260,TEZIUTLÁN,TEZIUTLÁN,21DJN0194X,TIZOC,112,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.809327,-97.374096
2261,IXCAMILPA DE GUERRERO,EL ORGANAL,21KJN1659C,PREESCOLAR COMUNITARIO RURAL EL ORGANAL,16,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.0056,-98.4157
2262,JOLALPAN,TEHUICTZINGO (TLACOTITLA),21KTV0097U,SECUNDARIA COMUNITARIA RURAL TEHUICTZINGO TLACOTITLA,6,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.2405,-98.5233
2263,JOLALPAN,LAS PILAS,21KTV0112W,SECUNDARIA COMUNITARIA RURAL SAN VICENTE,9,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.401667,-98.943056
2264,JOLALPAN,SAN VICENTE,21KJN0302Y,PREESCOLAR COMUNITARIO SAN VICENTE,9,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.2625,-98.983611
2265,JOLALPAN,TEHUICTZINGO (TLACOTITLA),21KJN0487U,PREESCOLAR COMUNITARIO TEHUITZINGO,5,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.401298,-98.875839
2266,TOTOLTEPEC DE GUERRERO,SANTA CRUZ NUEVO,21KJN0832N,PREESCOLAR COMUNITARIO MESTIZO SANTA CRUZ NUEVO,5,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.295833,-97.81
2267,HUEHUETLÁN EL CHICO,LA PALMA,21KJN0991B,PREESCOLAR COMUNITARIO RURAL LA PALMA,7,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.377687,-98.73861
2268,CHIAUTLA,TEPOXMATLA,21KJN1477U,PREESCOLAR COMUNITARIO RURAL TEPOXMATLA,11,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.334722,-98.744444
