N°,Municipio,Etapa,Edad,Género
459,ELOXOCHITLAN,1,18,Femenino
460,ZOQUITLAN,1,66,Femenino
461,ZOQUITLAN,1,47,Femenino
462,ZOQUITLAN,1,23,Femenino
463,ELOXOCHITLAN,1,28,Femenino
464,ELOXOCHITLAN,1,26,Femenino
465,ELOXOCHITLAN,1,26,Femenino
466,ELOXOCHITLAN,1,44,Femenino
467,AJALPAN,1,39,Femenino
468,AJALPAN,1,48,Femenino
469,AJALPAN,1,19,Femenino
470,AJALPAN,1,32,Femenino
471,AJALPAN,1,22,Femenino
472,AJALPAN,1,18,Femenino
473,COXCATLAN,1,27,Femenino
474,COXCATLAN,1,41,Femenino
475,COXCATLAN,1,62,Femenino
476,COXCATLAN,1,62,Femenino
477,COXCATLAN,1,44,Femenino
478,COXCATLAN,1,62,Femenino
479,COXCATLAN,1,32,Femenino
480,COXCATLAN,1,55,Femenino
481,COXCATLAN,1,27,Femenino
482,COXCATLAN,1,34,Femenino
483,TEHUACAN,1,29,Femenino
484,TEHUACAN,1,48,Femenino
485,TEHUACAN,1,19,Femenino
486,TEHUACAN,1,35,Femenino
487,TEHUACAN,1,27,Femenino
488,TEHUACAN,1,62,Femenino
489,TEHUACAN,1,33,Femenino
490,TEHUACAN,1,61,Femenino
491,SAN JOSE MIAHUATLAN,1,48,Femenino
492,SAN JOSE MIAHUATLAN,1,63,Femenino
493,SAN JOSE MIAHUATLAN,1,23,Femenino
494,SAN JOSE MIAHUATLAN,1,32,Femenino
495,SAN JOSE MIAHUATLAN,1,36,Femenino
496,ZOQUITLAN,1,40,Femenino
497,ZOQUITLAN,1,37,Femenino
498,ZOQUITLAN,1,58,Femenino
499,ZOQUITLAN,1,34,Femenino
500,ZOQUITLAN,1,19,Femenino
501,ZOQUITLAN,1,74,Femenino
502,COXCATLAN,2,53,Femenino
503,COXCATLAN,2,40,Femenino
504,COXCATLAN,2,54,Femenino
505,COXCATLAN,2,50,Femenino
506,COXCATLAN,2,32,Femenino
507,ALTEPEXI,2,27,Femenino
508,ALTEPEXI,2,60,Femenino
509,ALTEPEXI,2,40,Femenino
510,ALTEPEXI,2,80,Femenino
511,ALTEPEXI,2,37,Femenino
512,COXCATLAN,2,60,Femenino
513,COXCATLAN,2,61,Femenino
514,COXCATLAN,2,25,Femenino
515,COXCATLAN,2,28,Femenino
516,COXCATLAN,2,40,Femenino
517,COXCATLAN,2,44,Femenino
518,COXCATLAN,2,64,Femenino
519,COXCATLAN,2,34,Femenino
520,TEHUACAN,2,22,Femenino
521,TEHUACAN,2,45,Femenino
522,TEHUACAN,2,52,Femenino
523,TEHUACAN,2,45,Femenino
524,TEHUACAN,2,40,Femenino
525,TEHUACAN,2,65,Femenino
526,COXCATLAN,2,28,Femenino
527,COXCATLAN,2,49,Femenino
528,COXCATLAN,2,53,Femenino
529,COXCATLAN,2,29,Femenino
530,COXCATLAN,2,28,Femenino
531,ALTEPEXI,2,48,Femenino
532,ALTEPEXI,2,33,Femenino
533,ALTEPEXI,2,31,Femenino
534,ALTEPEXI,2,45,Femenino
535,ALTEPEXI,2,57,Femenino
536,COYOMEAPAN,2,44,Femenino
537,COYOMEAPAN,2,50,Femenino
538,COYOMEAPAN,2,50,Femenino
539,COYOMEAPAN,2,24,Femenino
540,COYOMEAPAN,2,43,Femenino
541,ALTEPEXI,2,27,Femenino
542,ALTEPEXI,2,56,Femenino
543,ALTEPEXI,2,26,Femenino
544,ALTEPEXI,2,49,Femenino
545,ALTEPEXI,2,35,Femenino
546,COXCATLAN,2,27,Femenino
547,COXCATLAN,2,72,Femenino
